[2025-01-18 21:28:47] This is codeql dataset import -J-Xmx6858M --verbosity=progress --logdir=/mnt/c/GitHub/SpeQL/database/azure-api-db/log --dbscheme=/usr/local/codeql/javascript/semmlecode.javascript.dbscheme --threads=12 -- /mnt/c/GitHub/SpeQL/database/azure-api-db/db-javascript /mnt/c/GitHub/SpeQL/database/azure-api-db/trap/javascript
[2025-01-18 21:28:47] Clearing disk cache since the version file /mnt/c/GitHub/SpeQL/database/azure-api-db/db-javascript/default/cache/version does not exist
[2025-01-18 21:28:47] Tuple pool not found. Clearing relations with cached strings
[2025-01-18 21:28:47] Trimming disk cache at /mnt/c/GitHub/SpeQL/database/azure-api-db/db-javascript/default/cache in mode clear.
[2025-01-18 21:28:47] Sequence stamp origin is -6092515357382079983
[2025-01-18 21:28:53] Importing WorkflowRunActionRepetitionsRequestHistories_List.json.trap.gz (266 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActionRepetitions_Get.json.trap.gz (267 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActionRepetitions_List.json.trap.gz (268 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActionRepetitions_ListExpressionTraces.json.trap.gz (269 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActionRequestHistories_Get.json.trap.gz (270 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActionRequestHistories_List.json.trap.gz (271 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActionScopeRepetitions_Get.json.trap.gz (272 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActionScopeRepetitions_List.json.trap.gz (273 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActions_Get.json.trap.gz (274 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActions_List.json.trap.gz (275 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActions_ListExpressionTraces.json.trap.gz (276 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunOperations_Get.json.trap.gz (277 of 310)
[2025-01-18 21:28:53] Importing WorkflowRuns_Cancel.json.trap.gz (278 of 310)
[2025-01-18 21:28:53] Importing WorkflowRuns_Get.json.trap.gz (279 of 310)
[2025-01-18 21:28:53] Importing WorkflowRuns_List.json.trap.gz (280 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggerHistories_Get.json.trap.gz (281 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggerHistories_List.json.trap.gz (282 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggerHistories_Resubmit.json.trap.gz (283 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggers_Get.json.trap.gz (284 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggers_GetSchemaJson.json.trap.gz (285 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggers_List.json.trap.gz (286 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggers_ListCallbackUrl.json.trap.gz (287 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggers_Reset.json.trap.gz (288 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggers_Run.json.trap.gz (289 of 310)
[2025-01-18 21:28:53] Importing WorkflowTriggers_SetState.json.trap.gz (290 of 310)
[2025-01-18 21:28:53] Importing WorkflowVersionTriggers_ListCallbackUrl.json.trap.gz (291 of 310)
[2025-01-18 21:28:53] Importing WorkflowVersions_Get.json.trap.gz (292 of 310)
[2025-01-18 21:28:53] Importing WorkflowVersions_List.json.trap.gz (293 of 310)
[2025-01-18 21:28:53] Importing Workflows_CreateOrUpdate.json.trap.gz (294 of 310)
[2025-01-18 21:28:53] Importing Workflows_Delete.json.trap.gz (295 of 310)
[2025-01-18 21:28:53] Importing Workflows_Disable.json.trap.gz (296 of 310)
[2025-01-18 21:28:53] Importing Workflows_Enable.json.trap.gz (297 of 310)
[2025-01-18 21:28:53] Importing Workflows_GenerateUpgradedDefinition.json.trap.gz (298 of 310)
[2025-01-18 21:28:53] Importing Workflows_Get.json.trap.gz (299 of 310)
[2025-01-18 21:28:53] Importing Workflows_ListByResourceGroup.json.trap.gz (300 of 310)
[2025-01-18 21:28:53] Importing Workflows_ListBySubscription.json.trap.gz (301 of 310)
[2025-01-18 21:28:53] Importing Workflows_ListCallbackUrl.json.trap.gz (302 of 310)
[2025-01-18 21:28:53] Importing Workflows_ListSwagger.json.trap.gz (303 of 310)
[2025-01-18 21:28:53] Importing Workflows_Move.json.trap.gz (304 of 310)
[2025-01-18 21:28:53] Importing Workflows_RegenerateAccessKey.json.trap.gz (305 of 310)
[2025-01-18 21:28:53] Importing Workflows_Update.json.trap.gz (306 of 310)
[2025-01-18 21:28:53] Importing Workflows_ValidateByLocation.json.trap.gz (307 of 310)
[2025-01-18 21:28:53] Importing Workflows_ValidateByResourceGroup.json.trap.gz (308 of 310)
[2025-01-18 21:28:53] Importing logic.json.trap.gz (309 of 310)
[2025-01-18 21:28:53] Importing sourceLocationPrefix.trap.gz (310 of 310)
[2025-01-18 21:28:53] [PROGRESS] dataset import> Merging relations
[2025-01-18 21:28:53] Merging 12 fragments for 'extraction_data'.
[2025-01-18 21:28:53] Merging 12 fragments for 'numlines'.
[2025-01-18 21:28:53] Merging 12 fragments for 'files'.
[2025-01-18 21:28:53] Merging 12 fragments for 'json_properties'.
[2025-01-18 21:28:53] Merging 12 fragments for 'hasLocation'.
[2025-01-18 21:28:53] Merging 12 fragments for 'json_literals'.
[2025-01-18 21:28:53] Merging 12 fragments for 'folders'.
[2025-01-18 21:28:53] Merging 12 fragments for 'filetype'.
[2025-01-18 21:28:53] Merging 12 fragments for 'locations_default'.
[2025-01-18 21:28:53] Merging 12 fragments for 'json_locations'.
[2025-01-18 21:28:53] Merging 12 fragments for 'containerparent'.
[2025-01-18 21:28:53] Merging 12 fragments for 'json'.
[2025-01-18 21:28:54] Merged 2472 bytes (2.41 KiB) for 'files'.
[2025-01-18 21:28:54] Merging 12 fragments for 'extraction_time'.
[2025-01-18 21:28:54] Merged 152 bytes for 'folders'.
[2025-01-18 21:28:54] Merging 1 fragment for 'sourceLocationPrefix'.
[2025-01-18 21:28:54] Merged 2472 bytes (2.41 KiB) for 'filetype'.
[2025-01-18 21:28:54] Merged 4944 bytes (4.83 KiB) for 'extraction_data'.
[2025-01-18 21:28:54] Merged 2472 bytes (2.41 KiB) for 'hasLocation'.
[2025-01-18 21:28:54] Merged 2616 bytes (2.55 KiB) for 'containerparent'.
[2025-01-18 21:28:54] Merged 4944 bytes (4.83 KiB) for 'numlines'.
[2025-01-18 21:28:54] Merged 4 bytes for 'sourceLocationPrefix'.
[2025-01-18 21:28:54] Merged 353688 bytes (345.40 KiB) for 'json_literals'.
[2025-01-18 21:28:54] Merged 481848 bytes (470.55 KiB) for 'json_properties'.
[2025-01-18 21:28:54] Merged 909480 bytes (888.16 KiB) for 'json'.
[2025-01-18 21:28:54] Merged 363792 bytes (355.27 KiB) for 'json_locations'.
[2025-01-18 21:28:54] Merged 1098792 bytes (1.05 MiB) for 'locations_default'.
[2025-01-18 21:28:54] Merged 111240 bytes (108.63 KiB) for 'extraction_time'.
[2025-01-18 21:28:54] Saving string and id pools to disk.
[2025-01-18 21:28:55] Finished importing TRAP files.
[2025-01-18 21:28:55] Read 12.06 MiB of uncompressed TRAP data.
[2025-01-18 21:28:55] Relation data size: 3.18 MiB (merge rate: 732.66 KiB/s)
[2025-01-18 21:28:55] String pool size: 2.22 MiB
[2025-01-18 21:28:55] ID pool size: 4.50 MiB
[2025-01-18 21:28:55] [PROGRESS] dataset import> Finished writing database (relations: 3.18 MiB; string pool: 2.22 MiB).
[2025-01-18 21:28:55] Pausing evaluation to close the cache at sequence stamp o+317
[2025-01-18 21:28:55] The disk cache is freshly trimmed; leave it be.
[2025-01-18 21:28:55] Unpausing evaluation
[2025-01-18 21:28:55] Terminating normally.
